T[K],T,na [m-3],n AII[m-3],ne[m-3],n AIII[m-3],g/Z(T)1,g/Z(T)2,Q(Te)(m-2)
2.61E+04,2.61E+04,2.62E+20,5.20E+22,1.70E+23,5.88E+22,8.40E-01,4.45E-01,6.38E-20
2.62E+04,2.62E+04,2.48E+20,5.00E+22,1.70E+23,5.97E+22,8.39E-01,4.44E-01,6.28E-20
2.63E+04,2.63E+04,2.35E+20,4.82E+22,1.70E+23,6.06E+22,8.39E-01,4.44E-01,6.17E-20
2.64E+04,2.64E+04,2.23E+20,4.64E+22,1.70E+23,6.14E+22,8.38E-01,4.43E-01,6.07E-20
2.65E+04,2.65E+04,2.11E+20,4.46E+22,1.70E+23,6.22E+22,8.38E-01,4.43E-01,5.96E-20
2.66E+04,2.66E+04,2.00E+20,4.29E+22,1.70E+23,6.30E+22,8.37E-01,4.43E-01,5.85E-20
2.67E+04,2.67E+04,1.90E+20,4.12E+22,1.69E+23,6.37E+22,8.36E-01,4.42E-01,5.74E-20
2.68E+04,2.68E+04,1.80E+20,3.96E+22,1.69E+23,6.44E+22,8.36E-01,4.42E-01,5.63E-20
2.69E+04,2.69E+04,1.70E+20,3.80E+22,1.69E+23,6.51E+22,8.35E-01,4.41E-01,5.51E-20
2.70E+04,2.70E+04,1.61E+20,3.65E+22,1.69E+23,6.57E+22,8.34E-01,4.41E-01,5.39E-20
2.71E+04,2.71E+04,1.52E+20,3.51E+22,1.69E+23,6.64E+22,8.34E-01,4.41E-01,5.27E-20
2.72E+04,2.72E+04,1.44E+20,3.37E+22,1.69E+23,6.69E+22,8.33E-01,4.40E-01,5.15E-20
2.73E+04,2.73E+04,1.37E+20,3.23E+22,1.68E+23,6.75E+22,8.32E-01,4.40E-01,5.03E-20
2.74E+04,2.74E+04,1.29E+20,3.10E+22,1.68E+23,6.80E+22,8.31E-01,4.40E-01,4.90E-20
2.75E+04,2.75E+04,1.22E+20,2.97E+22,1.68E+23,6.85E+22,8.31E-01,4.39E-01,4.77E-20
2.76E+04,2.76E+04,1.16E+20,2.85E+22,1.68E+23,6.89E+22,8.30E-01,4.39E-01,4.64E-20
2.77E+04,2.77E+04,1.09E+20,2.73E+22,1.68E+23,6.93E+22,8.29E-01,4.38E-01,4.51E-20
2.78E+04,2.78E+04,1.03E+20,2.62E+22,1.67E+23,6.97E+22,8.28E-01,4.38E-01,4.37E-20
2.79E+04,2.79E+04,9.76E+19,2.51E+22,1.67E+23,7.01E+22,8.27E-01,4.38E-01,4.23E-20
2.80E+04,2.80E+04,9.23E+19,2.40E+22,1.67E+23,7.04E+22,8.26E-01,4.37E-01,4.09E-20
2.81E+04,2.81E+04,8.73E+19,2.30E+22,1.67E+23,7.07E+22,8.26E-01,4.37E-01,3.95E-20
2.82E+04,2.82E+04,8.25E+19,2.20E+22,1.66E+23,7.10E+22,8.25E-01,4.37E-01,3.81E-20
2.83E+04,2.83E+04,7.80E+19,2.11E+22,1.66E+23,7.12E+22,8.24E-01,4.36E-01,3.66E-20
2.84E+04,2.84E+04,7.37E+19,2.02E+22,1.66E+23,7.14E+22,8.23E-01,4.36E-01,3.51E-20
2.85E+04,2.85E+04,6.96E+19,1.94E+22,1.65E+23,7.16E+22,8.22E-01,4.35E-01,3.36E-20
2.86E+04,2.86E+04,6.58E+19,1.85E+22,1.65E+23,7.18E+22,8.21E-01,4.35E-01,3.20E-20
2.87E+04,2.87E+04,6.22E+19,1.78E+22,1.65E+23,7.19E+22,8.20E-01,4.35E-01,3.05E-20
2.88E+04,2.88E+04,5.88E+19,1.70E+22,1.65E+23,7.20E+22,8.19E-01,4.34E-01,2.89E-20
2.89E+04,2.89E+04,5.56E+19,1.63E+22,1.64E+23,7.21E+22,8.18E-01,4.34E-01,2.73E-20
2.90E+04,2.90E+04,5.25E+19,1.56E+22,1.64E+23,7.22E+22,8.17E-01,4.34E-01,2.57E-20
2.91E+04,2.91E+04,4.96E+19,1.49E+22,1.64E+23,7.23E+22,8.16E-01,4.33E-01,2.40E-20
2.92E+04,2.92E+04,4.69E+19,1.43E+22,1.63E+23,7.23E+22,8.15E-01,4.33E-01,2.23E-20
2.93E+04,2.93E+04,4.43E+19,1.37E+22,1.63E+23,7.23E+22,8.14E-01,4.32E-01,2.06E-20
2.94E+04,2.94E+04,4.19E+19,1.31E+22,1.63E+23,7.23E+22,8.13E-01,4.32E-01,1.89E-20
2.95E+04,2.95E+04,3.96E+19,1.25E+22,1.62E+23,7.22E+22,8.11E-01,4.32E-01,1.71E-20
2.96E+04,2.96E+04,3.74E+19,1.20E+22,1.62E+23,7.22E+22,8.10E-01,4.31E-01,1.54E-20
2.97E+04,2.97E+04,3.54E+19,1.15E+22,1.62E+23,7.21E+22,8.09E-01,4.31E-01,1.36E-20
2.98E+04,2.98E+04,3.34E+19,1.10E+22,1.61E+23,7.20E+22,8.08E-01,4.31E-01,1.17E-20
2.99E+04,2.99E+04,3.16E+19,1.05E+22,1.61E+23,7.18E+22,8.07E-01,4.30E-01,9.87E-21
3.00E+04,3.00E+04,2.99E+19,1.00E+22,1.60E+23,7.17E+22,8.05E-01,4.30E-01,8.00E-21
